time_lsl,ch1,ch2,ch3,ch4
567065.9248061441,400317.0,433997.0,449843.0,174420.0
567065.9431320361,399867.0,433422.0,449172.0,174450.0
567065.9614579282,399516.0,432964.0,448723.0,174508.0
567065.9797838202,399220.0,432473.0,448317.0,174489.0
567065.9981097123,399033.0,432269.0,448034.0,174502.0
567066.0164356044,398891.0,432069.0,447792.0,174461.0
567066.0347614965,398905.0,431998.0,447806.0,174443.0
567066.0530873885,398898.0,432037.0,447817.0,174435.0
567066.0714132806,399044.0,432177.0,447946.0,174477.0
567066.0897391726,399020.0,432225.0,447972.0,174430.0
567066.1080650646,399150.0,432337.0,448020.0,174400.0
567066.1263909568,399284.0,432476.0,448187.0,174468.0
567066.1447168489,399341.0,432589.0,448268.0,174494.0
567066.1630427409,399525.0,432688.0,448372.0,174475.0
567066.1813686329,399655.0,432918.0,448513.0,174483.0
567066.199694525,399774.0,433099.0,448632.0,174502.0
567066.218020417,399968.0,433323.0,448882.0,174477.0
567066.2363463092,400128.0,433468.0,449042.0,174474.0
567066.2546722012,400242.0,433731.0,449313.0,174519.0
567066.2729980933,400418.0,434015.0,449496.0,174496.0
567066.2913239853,400573.0,434179.0,449661.0,174476.0
567066.3096498774,400771.0,434503.0,449877.0,174469.0
567066.3279757694,400997.0,434738.0,450140.0,174453.0
567066.3463016616,401180.0,435026.0,450395.0,174503.0
567066.3646275536,401432.0,435249.0,450675.0,174513.0
567066.3829534457,401589.0,435518.0,450897.0,174455.0
567066.4012793377,401808.0,435793.0,451144.0,174504.0
567066.4196052297,402053.0,436037.0,451361.0,174491.0
567066.4379311218,402188.0,436281.0,451597.0,174467.0
567066.456257014,402326.0,436476.0,451799.0,174454.0
567066.474582906,402577.0,436748.0,452071.0,174482.0
567066.492908798,402717.0,437056.0,452300.0,174521.0
567066.5112346901,402957.0,437333.0,452519.0,174465.0
567066.5295605821,403116.0,437501.0,452745.0,174459.0
567066.5478864742,403337.0,437810.0,453014.0,174461.0
567066.5662123663,403573.0,438052.0,453239.0,174522.0
567066.5845382584,403739.0,438316.0,453557.0,174472.0
567066.6028641504,403980.0,438571.0,453761.0,174457.0
567066.6211900425,404115.0,438831.0,454019.0,174508.0
567066.6395159345,404257.0,439024.0,454180.0,174468.0
567066.6578418267,404202.0,438886.0,454004.0,174484.0
567066.6761677187,403841.0,438486.0,453595.0,174481.0
567066.6944936108,403446.0,437954.0,453035.0,174505.0
567066.7128195028,402845.0,437244.0,452289.0,174462.0
567066.7311453948,402325.0,436496.0,451510.0,174485.0
567066.7494712869,401737.0,435736.0,450811.0,174505.0
567066.767797179,401170.0,434957.0,450076.0,174482.0
567066.7861230711,400605.0,434262.0,449361.0,174465.0
567066.8044489631,400106.0,433576.0,448717.0,174475.0
567066.8227748552,399629.0,432973.0,448125.0,174498.0
567066.8411007472,399279.0,432424.0,447568.0,174486.0
567066.8594266393,398923.0,431956.0,447113.0,174434.0
567066.8777525314,398635.0,431658.0,446804.0,174410.0
567066.8960784235,398529.0,431563.0,446717.0,174408.0
567066.9144043155,398619.0,431494.0,446666.0,174440.0
567066.9327302076,398644.0,431627.0,446782.0,174447.0
567066.9510560996,398685.0,431571.0,446836.0,174422.0
567066.9693819917,398785.0,431655.0,446901.0,174439.0
567066.9877078838,398821.0,431718.0,446927.0,174470.0
567067.0060337759,398925.0,431920.0,447065.0,174440.0
567067.0243596679,399018.0,431993.0,447159.0,174443.0
567067.04268556,399164.0,432126.0,447280.0,174417.0
567067.061011452,399248.0,432299.0,447339.0,174511.0
567067.079337344,399459.0,432538.0,447508.0,174513.0
567067.0976632362,399535.0,432677.0,447697.0,174520.0
567067.1159891282,399725.0,432896.0,447901.0,174500.0
567067.1343150203,399883.0,433100.0,448101.0,174545.0
567067.1526409123,400044.0,433263.0,448259.0,174484.0
567067.1709668044,400202.0,433563.0,448455.0,174442.0
567067.1892926964,400413.0,433751.0,448704.0,174456.0
567067.2076185886,400627.0,434043.0,448967.0,174502.0
567067.2259444806,400902.0,434260.0,449195.0,174454.0
567067.2442703727,401097.0,434509.0,449439.0,174464.0
567067.2625962647,401369.0,434833.0,449675.0,174510.0
567067.2809221568,401442.0,435098.0,449992.0,174498.0
567067.2992480488,401587.0,435325.0,450215.0,174479.0
567067.317573941,401731.0,435577.0,450435.0,174434.0
567067.335899833,402009.0,435810.0,450625.0,174482.0
567067.354225725,402084.0,436039.0,450813.0,174477.0
567067.3725516171,402224.0,436313.0,450990.0,174454.0
567067.3908775091,402434.0,436514.0,451281.0,174502.0
567067.4092034013,402649.0,436773.0,451528.0,174483.0
567067.4275292933,402839.0,437000.0,451768.0,174462.0
567067.4458551854,403038.0,437291.0,452043.0,174465.0
567067.4641810774,403250.0,437625.0,452272.0,174454.0
567067.4825069695,403548.0,437917.0,452558.0,174488.0
567067.5008328615,403596.0,438097.0,452743.0,174476.0
567067.5191587537,403733.0,438260.0,452899.0,174487.0
567067.5374846457,403599.0,438068.0,452721.0,174447.0
567067.5558105378,403277.0,437683.0,452283.0,174414.0
567067.5741364298,402872.0,437128.0,451712.0,174482.0
567067.5924623219,402321.0,436415.0,450981.0,174470.0
567067.6107882139,401716.0,435642.0,450267.0,174469.0
567067.6291141061,401090.0,434838.0,449582.0,174441.0
567067.6474399981,400521.0,434113.0,448840.0,174473.0
567067.6657658902,399984.0,433366.0,448116.0,174466.0
